TICKET_ID,CREATED DATE,TICKET TYPE,PRIORITY,STATUS,ASSIGNED TO,FIRST RESPONSE DATE,RESOLVED DATE,RESOLUTION TIME,SLA BREACHED
OPS-001,02/01/2025,FINANCE,high,Resolved,Agent A,02/01/2025,03/01/2025,24,No
OPS-002,12/01/2025,HR,medium,In-Progress,Agent A,12/01/2025,,,
OPS-003,02/01/2025,ADMIN,low,Pending,Agent A,04/01/2025,,,
OPS-004,08/01/2025,HR,medium,Open,Agent A,09/01/2025,,,
OPS-005,12/01/2025,HR,medium,Resolved,Agent A,12/01/2025,14/01/2025,48,No
OPS-006,13/01/2025,MARKETING,low,Resolved,Agent A,15/01/2025,20/01/2025,168,Yes
OPS-007,10/01/2025,MARKETING,high,Resolved,Agent A,11/01/2025,14/01/2025,96,Yes
OPS-008,06/01/2025,ADMIN,high,Resolved,Agent A,07/01/2025,12/01/2025,144,Yes
OPS-009,12/01/2025,ADMIN,high,In-Progress,Agent A,13/01/2025,,,
OPS-010,12/01/2025,FINANCE,medium,Pending,Agent A,12/01/2025,,,
OPS-011,07/01/2025,IT,low,Resolved,Agent A,08/01/2025,13/01/2025,144,Yes
OPS-012,15/01/2025,FINANCE,high,Resolved,Agent A,17/01/2025,19/01/2025,96,Yes
OPS-013,09/01/2025,FINANCE,high,Resolved,Agent A,10/01/2025,11/01/2025,48,No
OPS-014,07/01/2025,HR,high,Resolved,Agent A,08/01/2025,11/01/2025,96,Yes
OPS-015,08/01/2025,FINANCE,low,Resolved,Agent A,09/01/2025,11/01/2025,72,Yes
OPS-016,07/01/2025,HR,medium,Resolved,Agent A,07/01/2025,11/01/2025,96,Yes
OPS-017,10/01/2025,FINANCE,medium,In-Progress,Agent A,12/01/2025,,,
OPS-018,02/01/2025,MARKETING,low,Open,Agent A,03/01/2025,,,
OPS-019,07/01/2025,MARKETING,medium,Pending,Agent A,09/01/2025,,,
OPS-020,08/01/2025,FINANCE,medium,Pending,Agent A,08/01/2025,,,
OPS-021,08/01/2025,HR,low,Pending,Agent A,09/01/2025,,,
OPS-022,06/01/2025,FINANCE,high,Open,Agent A,08/01/2025,,,
OPS-023,15/01/2025,HR,high,In-Progress,Agent A,17/01/2025,,,
OPS-024,01/01/2025,MARKETING,medium,Resolved,Agent A,01/01/2025,06/01/2025,120,Yes
OPS-025,03/01/2025,IT,medium,Resolved,Agent A,03/01/2025,06/01/2025,72,Yes
OPS-026,03/01/2025,IT,medium,Resolved,Agent A,04/01/2025,06/01/2025,72,Yes
OPS-027,13/01/2025,MARKETING,low,In-Progress,Agent A,13/01/2025,,,
OPS-028,04/01/2025,IT,low,Open,Agent A,04/01/2025,,,
OPS-029,08/01/2025,FINANCE,low,Pending,Agent A,08/01/2025,,,
OPS-030,05/01/2025,IT,high,Resolved,Agent A,05/01/2025,09/01/2025,96,Yes
OPS-031,11/01/2025,FINANCE,high,In-Progress,Agent A,11/01/2025,,,
OPS-032,04/01/2025,MARKETING,high,Resolved,Agent A,04/01/2025,05/01/2025,24,No
OPS-033,05/01/2025,HR,high,In-Progress,Agent A,06/01/2025,,,
OPS-034,02/01/2025,FINANCE,medium,Open,Agent A,04/01/2025,,,
OPS-035,13/01/2025,MARKETING,high,Resolved,Agent A,14/01/2025,19/01/2025,144,Yes
OPS-036,08/01/2025,IT,low,Pending,Agent A,09/01/2025,,,
OPS-037,03/01/2025,HR,low,Pending,Agent A,04/01/2025,,,
OPS-038,04/01/2025,FINANCE,medium,Pending,Agent A,06/01/2025,,,
OPS-039,08/01/2025,MARKETING,low,Pending,Agent B,10/01/2025,,,
OPS-040,13/01/2025,FINANCE,high,Resolved,Agent B,14/01/2025,15/01/2025,48,No
OPS-041,02/01/2025,MARKETING,high,In-Progress,Agent B,02/01/2025,,,
OPS-042,11/01/2025,HR,high,Resolved,Agent B,13/01/2025,15/01/2025,96,Yes
OPS-043,07/01/2025,FINANCE,low,Resolved,Agent B,07/01/2025,12/01/2025,120,Yes
OPS-044,13/01/2025,MARKETING,medium,Open,Agent B,15/01/2025,,,
OPS-045,13/01/2025,IT,medium,Open,Agent B,14/01/2025,,,
OPS-046,12/01/2025,IT,high,Open,Agent B,12/01/2025,,,
OPS-047,15/01/2025,ADMIN,high,In-Progress,Agent B,16/01/2025,,,
OPS-048,02/01/2025,ADMIN,medium,In-Progress,Agent B,02/01/2025,,,
OPS-049,11/01/2025,FINANCE,low,Pending,Agent B,12/01/2025,,,
OPS-050,03/01/2025,MARKETING,high,Resolved,Agent B,03/01/2025,07/01/2025,96,Yes
OPS-051,07/01/2025,IT,medium,In-Progress,Agent B,07/01/2025,,,
OPS-052,05/01/2025,FINANCE,high,Resolved,Agent B,06/01/2025,11/01/2025,144,Yes
OPS-053,03/01/2025,FINANCE,high,Resolved,Agent B,03/01/2025,07/01/2025,96,Yes
OPS-054,11/01/2025,HR,medium,In-Progress,Agent B,13/01/2025,,,
OPS-055,15/01/2025,FINANCE,low,Pending,Agent C,16/01/2025,,,
OPS-056,13/01/2025,HR,low,Pending,Agent C,15/01/2025,,,
OPS-057,12/01/2025,MARKETING,high,Resolved,Agent C,13/01/2025,14/01/2025,48,No
OPS-058,07/01/2025,HR,high,Resolved,Agent C,09/01/2025,10/01/2025,72,Yes
OPS-059,04/01/2025,ADMIN,high,Resolved,Agent C,05/01/2025,07/01/2025,72,Yes
OPS-060,13/01/2025,HR,high,Resolved,Agent C,13/01/2025,15/01/2025,48,No
OPS-061,07/01/2025,FINANCE,low,In-Progress,Agent C,09/01/2025,,,
OPS-062,12/01/2025,MARKETING,medium,Pending,Agent C,12/01/2025,,,
OPS-063,14/01/2025,IT,low,Open,Agent C,15/01/2025,,,
OPS-064,12/01/2025,FINANCE,high,In-Progress,Agent C,12/01/2025,,,
OPS-065,08/01/2025,MARKETING,medium,In-Progress,Agent C,09/01/2025,,,
OPS-066,03/01/2025,HR,high,Resolved,Agent C,04/01/2025,07/01/2025,96,Yes
OPS-067,02/01/2025,FINANCE,low,Pending,Agent C,04/01/2025,,,
OPS-068,05/01/2025,MARKETING,high,Resolved,Agent C,05/01/2025,06/01/2025,24,No
OPS-069,05/01/2025,HR,low,Pending,Agent D,06/01/2025,,,
OPS-070,13/01/2025,FINANCE,medium,Open,Agent D,14/01/2025,,,
OPS-071,12/01/2025,MARKETING,high,Resolved,Agent D,13/01/2025,18/01/2025,144,Yes
OPS-072,11/01/2025,FINANCE,high,Resolved,Agent D,13/01/2025,14/01/2025,72,Yes
OPS-073,07/01/2025,IT,medium,In-Progress,Agent D,09/01/2025,,,
OPS-074,11/01/2025,IT,low,Open,Agent D,12/01/2025,,,
OPS-075,01/01/2025,ADMIN,high,Resolved,Agent D,02/01/2025,03/01/2025,48,No
OPS-076,15/01/2025,ADMIN,low,Open,Agent D,15/01/2025,,,
OPS-077,01/01/2025,IT,medium,Resolved,Agent D,01/01/2025,05/01/2025,96,Yes
OPS-078,01/01/2025,FINANCE,high,In-Progress,Agent D,03/01/2025,,,
OPS-079,15/01/2025,MARKETING,low,Open,Agent D,17/01/2025,,,
OPS-080,02/01/2025,HR,high,Resolved,Agent D,04/01/2025,05/01/2025,72,Yes
OPS-081,10/01/2025,HR,low,Resolved,Agent D,12/01/2025,17/01/2025,168,Yes
OPS-082,08/01/2025,FINANCE,medium,In-Progress,Agent D,09/01/2025,,,
OPS-083,09/01/2025,IT,low,Pending,Agent D,11/01/2025,,,
OPS-084,09/01/2025,IT,high,Resolved,Agent D,09/01/2025,12/01/2025,72,Yes
OPS-085,14/01/2025,HR,high,Resolved,Agent D,16/01/2025,18/01/2025,96,Yes
OPS-086,14/01/2025,ADMIN,high,Resolved,Agent E,16/01/2025,21/01/2025,168,Yes
OPS-087,01/01/2025,IT,medium,Resolved,Agent E,01/01/2025,02/01/2025,24,No
OPS-088,03/01/2025,HR,low,Resolved,Agent E,04/01/2025,09/01/2025,144,Yes
OPS-089,13/01/2025,FINANCE,high,In-Progress,Agent E,14/01/2025,,,
OPS-090,10/01/2025,MARKETING,low,In-Progress,Agent E,12/01/2025,,,
OPS-091,01/01/2025,IT,low,Resolved,Agent E,01/01/2025,05/01/2025,96,Yes
OPS-092,08/01/2025,MARKETING,low,Resolved,Agent E,08/01/2025,12/01/2025,96,Yes
OPS-093,15/01/2025,ADMIN,medium,Open,Agent E,16/01/2025,,,
OPS-094,14/01/2025,ADMIN,medium,Open,Agent E,16/01/2025,,,
OPS-095,08/01/2025,IT,low,Pending,Agent E,08/01/2025,,,
OPS-096,05/01/2025,HR,high,Resolved,Agent E,06/01/2025,11/01/2025,144,Yes
OPS-097,13/01/2025,MARKETING,high,Resolved,Agent E,15/01/2025,17/01/2025,96,Yes
OPS-098,03/01/2025,ADMIN,high,In-Progress,Agent E,03/01/2025,,,
OPS-099,09/01/2025,IT,medium,Open,Agent E,11/01/2025,,,
OPS-100,04/01/2025,FINANCE,high,Resolved,Agent E,05/01/2025,07/01/2025,72,Yes
OPS-101,08/01/2025,FINANCE,high,Resolved,Agent E,08/01/2025,10/01/2025,48,No